0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:02 +0530] "GET /css/Style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:02 +0530] "GET /On_Road_Assistance/Images/road.png HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:03 +0530] "GET /On_Road_Assistance/logout HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:03 +0530] "GET /css/Style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:03 +0530] "GET /On_Road_Assistance/Images/road.png HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:03 +0530] "GET /On_Road_Assistance/logout HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:03 +0530] "GET /css/Style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:03 +0530] "GET /On_Road_Assistance/Images/road.png HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:03 +0530] "GET /On_Road_Assistance/logout HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:03 +0530] "GET /css/Style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:03 +0530] "GET /On_Road_Assistance/Images/road.png HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:03 +0530] "GET /On_Road_Assistance/logout HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:03 +0530] "GET /css/Style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:04 +0530] "GET /On_Road_Assistance/Images/road.png HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:07 +0530] "GET /On_Road_Assistance/logout HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [17/Jun/2019:17:28:07 +0530] "GET /css/Style.css HTTP/1.1" 404 1018
